device_id,device_type,manufacturer,model,firmware_version,firmware_year,firmware_age_years,ip_address,default_credentials,authentication,encryption,rtsp_enabled,rtsp_auth_required,open_ports,open_ports_count,upnp_enabled,internet_facing,behind_firewall,cloud_service,ssl_certificate_valid,password_complexity,failed_login_attempts,vulnerability_count,vulnerabilities,max_cvss_score,avg_cvss_score,exploit_difficulty,total_exploit_steps,risk_score,risk_level,risk_numeric
CCTV-00289,IP Camera,Dahua,IPC-HDBW2831R,V20.9.32,2020,6,53.252.173.225,1,basic,strong,0,1,"80,443,554,8000,37777",5,1,0,1,1,1,none,143,3,Default Credentials | Outdated Firmware | Path Traversal,9.8,9.13,5.67,17,145.0,Critical,3
CCTV-00290,IP Camera,Axis,P3245-LVE,V15.8.55,2015,11,135.77.225.14,1,basic,strong,1,1,"80,443,554",3,1,0,1,0,0,medium,67,3,Default Credentials | Outdated Firmware | Path Traversal,9.8,9.13,5.67,17,165.0,Critical,3
CCTV-00291,IP Camera,Dahua,IPC-HDW1431S,V15.2.4,2015,11,79.108.2.135,1,basic,weak,1,1,"80,443,554,8000,37777",5,1,1,1,0,0,none,72,4,Default Credentials | Outdated Firmware | Weak Encryption | Buffer Overflow,9.8,8.8,8.25,33,190.0,Critical,3
CCTV-00292,IP Camera,Hanwha,PNM-9084RQZ,V17.1.31,2017,9,11.168.22.168,0,no-auth,none,1,0,"80,443,554,4520",4,0,0,1,1,1,low,122,3,Outdated Firmware | Exposed RTSP Stream | No Encryption,9.8,8.63,5.33,16,156.0,Critical,3
CCTV-00293,IP Camera,Vivotek,MD8563-EH,V17.9.16,2017,9,51.198.206.73,1,strong,none,1,1,"80,554",2,0,1,0,1,1,none,102,3,Default Credentials | Outdated Firmware | No Encryption,9.8,9.03,6.0,18,186.0,Critical,3
CCTV-00294,IP Camera,Uniview,IPC672LR-AX4DUPK,V15.7.55,2015,11,171.218.47.11,0,no-auth,none,1,0,"80,443,554",3,1,0,1,0,0,none,108,5,Outdated Firmware | Exposed RTSP Stream | No Encryption | SQL Injection | Path Traversal,9.8,8.5,5.4,27,205.0,Critical,3
CCTV-00295,IP Camera,Vivotek,FE8182,V25.3.82,2025,1,22.39.23.132,0,strong,strong,1,1,"80,443,554,8080",4,1,0,1,0,1,medium,76,0,None,0.0,0.0,0.0,0,11.0,Low,0
CCTV-00296,IP Camera,Hikvision,DS-2CD2T85G1,V17.1.59,2017,9,181.230.135.88,1,no-auth,weak,1,0,"80,443",2,1,1,1,0,1,low,21,5,Default Credentials | Outdated Firmware | Exposed RTSP Stream | Weak Encryption | SQL Injection,9.8,8.7,6.0,30,214.0,Critical,3
CCTV-00297,IP Camera,Hanwha,PNM-9084RQZ,V16.1.95,2016,10,186.202.154.23,0,basic,none,1,1,"80,443",2,1,0,1,1,0,low,124,2,Outdated Firmware | No Encryption,9.8,8.65,6.5,13,137.0,Critical,3
CCTV-00298,IP Camera,Dahua,IPC-HDW1431S,V15.1.2,2015,11,52.78.227.247,1,basic,strong,1,1,"554,8000,37777",3,0,0,1,0,1,low,37,3,Default Credentials | Outdated Firmware | Buffer Overflow,9.8,9.57,8.0,24,152.0,Critical,3
CCTV-00299,IP Camera,Axis,P3265-LVE,V15.7.74,2015,11,112.248.249.60,1,basic,none,1,1,"80,443,554",3,0,0,1,0,0,high,141,4,Default Credentials | Outdated Firmware | No Encryption | Buffer Overflow,9.8,9.05,7.5,30,187.0,Critical,3
CCTV-00300,IP Camera,Uniview,IPC2124SR3-PF40,V18.6.73,2018,8,185.173.239.34,1,strong,none,1,1,"80,554,8000",3,1,0,1,1,1,low,120,5,Default Credentials | Outdated Firmware | No Encryption | Buffer Overflow | Path Traversal,9.8,8.8,7.0,35,196.0,Critical,3
CCTV-00301,IP Camera,CP Plus,CP-E24A,V24.5.60,2024,2,14.183.133.92,0,basic,strong,1,1,"8080,9000",2,1,0,1,1,1,low,126,2,Path Traversal | Command Injection,9.9,8.85,4.5,9,93.5,Critical,3
CCTV-00302,IP Camera,Uniview,IPC672LR-AX4DUPK,V16.8.4,2016,10,164.53.25.238,0,basic,strong,1,1,"80,443,554,8000",4,0,0,1,0,0,high,38,1,Outdated Firmware,9.8,9.8,7.0,7,99.0,Critical,3
CCTV-00303,IP Camera,Axis,P3265-LVE,V24.1.13,2024,2,35.78.186.86,0,basic,weak,1,1,"80,554",2,1,0,1,1,1,medium,74,1,Weak Encryption,6.5,6.5,9.0,9,61.5,High,2
CCTV-00304,IP Camera,Hanwha,PNM-9084RQZ,V15.3.56,2015,11,119.211.209.230,0,no-auth,strong,0,1,"80,443,554",3,1,0,1,1,0,none,62,2,Outdated Firmware | Path Traversal,9.8,8.8,6.0,12,145.0,Critical,3
CCTV-00305,IP Camera,Axis,F34,V21.5.3,2021,5,24.151.214.103,0,basic,weak,1,1,"80,443",2,0,1,0,0,1,high,38,2,Outdated Firmware | Weak Encryption,9.8,8.15,8.0,16,119.0,Critical,3
CCTV-00306,IP Camera,Uniview,IPC6252SR-X5UG,V20.5.44,2020,6,147.171.199.186,1,strong,weak,0,1,"80,443,554,8000",4,1,0,1,0,0,high,50,4,Default Credentials | Outdated Firmware | Weak Encryption | Path Traversal,9.8,8.48,6.5,26,165.0,Critical,3
CCTV-00307,IP Camera,Uniview,IPC672LR-AX4DUPK,V18.8.36,2018,8,41.24.63.115,1,no-auth,weak,1,0,"80,443,554,8000",4,1,0,1,0,0,medium,28,5,Default Credentials | Outdated Firmware | Exposed RTSP Stream | Weak Encryption | SQL Injection,9.8,8.7,6.0,30,206.0,Critical,3
CCTV-00308,NVR,CP Plus,CP-PLUS-16CH-DVR,V20.7.43,2020,6,102.232.50.38,0,no-auth,none,1,0,"443,554,9000",3,1,1,1,0,0,none,63,4,Outdated Firmware | Exposed RTSP Stream | No Encryption | Path Traversal,9.8,8.42,5.25,21,185.0,Critical,3
CCTV-00309,IP Camera,Uniview,IPC2328SBR3-DPZ,V21.1.11,2021,5,51.73.65.125,1,no-auth,weak,1,0,"443,554,8000",3,0,0,1,0,0,medium,125,4,Default Credentials | Outdated Firmware | Exposed RTSP Stream | Weak Encryption,9.8,8.68,6.0,24,174.0,Critical,3
CCTV-00310,IP Camera,Uniview,IPC672LR-AF60-B,V15.8.67,2015,11,46.215.24.240,1,basic,weak,0,1,"80,443,554,8000",4,1,1,1,0,1,low,95,3,Default Credentials | Outdated Firmware | Weak Encryption,9.8,8.7,7.0,21,170.0,Critical,3
CCTV-00311,IP Camera,CP Plus,CP-UVR-0401E1,V16.7.0,2016,10,48.166.45.205,1,basic,none,1,1,"443,554,8080,9000",4,1,0,1,0,0,medium,129,3,Default Credentials | Outdated Firmware | No Encryption,9.8,9.03,6.0,18,177.0,Critical,3
CCTV-00312,IP Camera,Vivotek,ND9541P,V17.3.50,2017,9,148.27.96.193,1,strong,none,1,1,"80,554,8080",3,1,0,1,0,0,medium,31,4,Default Credentials | Outdated Firmware | No Encryption | Buffer Overflow,9.8,9.05,7.5,30,189.0,Critical,3
CCTV-00313,IP Camera,Axis,F34,V23.1.84,2023,3,116.12.162.98,0,strong,strong,0,1,"443,554",2,1,0,1,0,1,high,125,1,Path Traversal,7.8,7.8,5.0,5,71.0,High,2
CCTV-00314,IP Camera,CP Plus,CP-UNC-DA41L3,V15.1.69,2015,11,23.103.122.193,1,basic,weak,1,1,"80,443,8080,9000",4,1,1,1,0,1,low,82,3,Default Credentials | Outdated Firmware | Weak Encryption,9.8,8.7,7.0,21,170.0,Critical,3
CCTV-00315,IP Camera,Vivotek,ND9541P,V16.8.96,2016,10,114.228.42.217,0,no-auth,weak,1,0,"80,443,554,8080",4,1,1,0,1,0,low,25,3,Outdated Firmware | Exposed RTSP Stream | Weak Encryption,9.8,8.3,6.33,19,182.0,Critical,3
CCTV-00316,NVR,Uniview,NVR304-32E-B,V21.2.47,2021,5,74.194.179.216,0,strong,strong,0,1,"80,443,554,8000",4,0,1,1,0,0,low,123,1,Outdated Firmware,9.8,9.8,7.0,7,94.0,Critical,3
CCTV-00317,NVR,Uniview,NVR304-32E-B,V19.8.36,2019,7,191.231.139.63,1,no-auth,none,1,0,"80,443,554",3,0,0,1,1,0,medium,87,4,Default Credentials | Outdated Firmware | Exposed RTSP Stream | No Encryption,9.8,8.93,5.25,21,195.0,Critical,3
CCTV-00318,IP Camera,Uniview,IPC532E-DL-IN,V17.7.76,2017,9,181.227.63.91,1,no-auth,strong,0,1,"80,443,554,8000",4,1,0,1,0,0,none,137,2,Default Credentials | Outdated Firmware,9.8,9.8,6.0,12,164.0,Critical,3
CCTV-00319,IP Camera,Hanwha,PNF-9010R,V21.5.49,2021,5,170.155.113.60,1,basic,weak,1,1,"80,443,554",3,1,0,1,0,0,none,91,3,Default Credentials | Outdated Firmware | Weak Encryption,9.8,8.7,7.0,21,147.0,Critical,3
CCTV-00320,IP Camera,Axis,Q1615-E,V15.7.90,2015,11,42.132.116.226,0,basic,weak,0,1,"80,443,554",3,1,0,1,1,0,none,144,2,Outdated Firmware | Weak Encryption,9.8,8.15,8.0,16,125.0,Critical,3
CCTV-00321,IP Camera,Vivotek,SD9364-EHL,V16.0.88,2016,10,21.114.24.72,0,no-auth,none,0,1,"554,8080",2,1,1,0,0,0,low,104,2,Outdated Firmware | No Encryption,9.8,8.65,6.5,13,182.0,Critical,3
CCTV-00322,IP Camera,Axis,F34,V17.0.50,2017,9,16.171.128.64,1,strong,none,1,1,"443,554",2,0,1,1,0,1,none,24,3,Default Credentials | Outdated Firmware | No Encryption,9.8,9.03,6.0,18,171.0,Critical,3
CCTV-00323,IP Camera,Hikvision,DS-2CD2385G1,V16.5.6,2016,10,24.154.221.17,1,no-auth,weak,1,0,"80,443,554,8000,8080",5,0,0,1,0,1,medium,16,5,Default Credentials | Outdated Firmware | Exposed RTSP Stream | Weak Encryption | Buffer Overflow,9.8,8.76,7.2,36,199.0,Critical,3
CCTV-00324,IP Camera,Hikvision,DS-2CD2043G,V18.4.48,2018,8,162.34.99.232,1,no-auth,weak,0,1,"443,8080",2,1,1,0,1,0,low,6,5,Default Credentials | Outdated Firmware | Weak Encryption | SQL Injection | Path Traversal,9.8,8.54,6.4,32,231.0,Critical,3
CCTV-00325,IP Camera,Vivotek,CC8370-HV,V19.4.45,2019,7,130.158.175.75,0,no-auth,weak,1,0,"80,8080",2,1,0,1,1,0,medium,79,4,Outdated Firmware | Exposed RTSP Stream | Weak Encryption | Path Traversal,9.8,8.17,6.0,24,163.0,Critical,3
CCTV-00326,IP Camera,CP Plus,CP-UNC-TA21L3,V18.2.7,2018,8,95.153.214.85,1,no-auth,none,1,0,"80,443,554,9000",4,0,0,1,1,0,medium,119,4,Default Credentials | Outdated Firmware | Exposed RTSP Stream | No Encryption,9.8,8.93,5.25,21,198.0,Critical,3
CCTV-00327,IP Camera,Dahua,IPC-HFW2431T,V17.0.63,2017,9,102.5.37.92,1,strong,weak,1,1,"554,8000,37777",3,0,0,1,0,0,none,102,3,Default Credentials | Outdated Firmware | Weak Encryption,9.8,8.7,7.0,21,151.0,Critical,3
CCTV-00328,IP Camera,Hikvision,DS-2CD2T85G1,V15.4.56,2015,11,15.70.194.168,1,no-auth,none,1,0,"443,8000",2,1,1,0,1,1,none,62,5,Default Credentials | Outdated Firmware | Exposed RTSP Stream | No Encryption | Buffer Overflow,9.8,8.96,6.6,33,250.0,Critical,3
CCTV-00329,IP Camera,Hanwha,QNO-8080R,V17.3.39,2017,9,21.96.150.203,0,basic,weak,1,1,"80,443,554,4520",4,1,1,1,0,0,low,95,2,Outdated Firmware | Weak Encryption,9.8,8.15,8.0,16,129.0,Critical,3
CCTV-00330,NVR,Dahua,DHI-XVR1B04,V16.4.16,2016,10,187.247.253.122,0,no-auth,none,1,0,"80,8000",2,1,0,1,1,0,low,95,4,Outdated Firmware | Exposed RTSP Stream | No Encryption | SQL Injection,9.8,8.68,5.5,22,187.0,Critical,3
CCTV-00331,NVR,CP Plus,CP-PLUS-16CH-DVR,V17.9.83,2017,9,20.238.172.110,1,basic,weak,0,1,"80,443,554,8080,9000",5,0,1,1,1,0,medium,113,4,Default Credentials | Outdated Firmware | Weak Encryption | Buffer Overflow,9.8,8.8,8.25,33,176.0,Critical,3
CCTV-00332,IP Camera,Axis,P3265-LVE,V17.5.63,2017,9,61.170.100.173,0,basic,weak,1,1,"80,443",2,1,1,1,0,0,none,58,4,Outdated Firmware | Weak Encryption | Buffer Overflow | Path Traversal,9.8,8.3,8.25,33,159.0,Critical,3
CCTV-00333,IP Camera,CP Plus,CP-UVR-0401E1,V16.4.24,2016,10,48.203.116.59,1,no-auth,none,0,1,"80,554,8080,9000",4,0,0,1,1,0,low,3,3,Default Credentials | Outdated Firmware | No Encryption,9.8,9.03,6.0,18,189.0,Critical,3
CCTV-00334,NVR,Uniview,NVR304-32E-B,V18.8.75,2018,8,12.255.181.87,0,no-auth,none,1,0,"80,8000",2,1,0,1,0,0,none,142,4,Outdated Firmware | Exposed RTSP Stream | No Encryption | Buffer Overflow,9.8,8.75,7.0,28,181.0,Critical,3
CCTV-00335,IP Camera,Dahua,IPC-HDBW2831R,V17.6.97,2017,9,110.32.197.49,1,no-auth,weak,1,0,"443,37777",2,0,0,1,0,0,high,146,5,Default Credentials | Outdated Firmware | Exposed RTSP Stream | Weak Encryption | SQL Injection,9.8,8.7,6.0,30,201.0,Critical,3
CCTV-00336,IP Camera,Axis,M2026-LE,V17.7.81,2017,9,24.188.5.44,0,strong,strong,1,1,"443,554",2,1,0,1,1,0,low,52,2,Outdated Firmware | Path Traversal,9.8,8.8,6.0,12,119.0,Critical,3
CCTV-00337,IP Camera,CP Plus,CP-E24A,V17.1.16,2017,9,80.103.3.254,1,basic,strong,0,1,"443,8080,9000",3,1,0,1,0,0,medium,79,2,Default Credentials | Outdated Firmware,9.8,9.8,6.0,12,144.0,Critical,3
CCTV-00338,IP Camera,Dahua,IPC-HFW5831E,V15.6.77,2015,11,55.221.234.99,1,no-auth,none,0,1,"80,443,554,8000,37777",5,1,0,1,0,1,low,76,3,Default Credentials | Outdated Firmware | No Encryption,9.8,9.03,6.0,18,195.0,Critical,3
CCTV-00339,IP Camera,Uniview,IPC672LR-AX4DUPK,V20.1.50,2020,6,93.209.230.43,0,strong,none,1,1,"80,443,554,8000",4,0,1,1,1,0,medium,26,2,Outdated Firmware | No Encryption,9.8,8.65,6.5,13,127.0,Critical,3
CCTV-00340,IP Camera,CP Plus,CP-EAC-T24PL2,V18.7.3,2018,8,122.71.241.211,1,no-auth,none,1,0,"80,443,554,8080,9000",5,1,0,1,0,1,low,124,5,Default Credentials | Outdated Firmware | Exposed RTSP Stream | No Encryption | Buffer Overflow,9.8,8.96,6.6,33,216.0,Critical,3
CCTV-00341,IP Camera,CP Plus,CP-VAC-D20L2,V15.0.77,2015,11,143.52.199.177,1,basic,none,1,1,"80,554",2,1,1,0,1,1,low,55,4,Default Credentials | Outdated Firmware | No Encryption | Buffer Overflow,9.8,9.05,7.5,30,215.0,Critical,3
CCTV-00342,IP Camera,CP Plus,CP-USC-TA13L2,V15.0.6,2015,11,52.22.212.132,1,no-auth,none,1,0,"80,8080,9000",3,1,1,0,0,1,high,56,5,Default Credentials | Outdated Firmware | Exposed RTSP Stream | No Encryption | Buffer Overflow,9.8,8.96,6.6,33,250.0,Critical,3
CCTV-00343,IP Camera,Hikvision,DS-7608NI-I2,V16.3.79,2016,10,21.34.111.106,1,no-auth,none,1,0,"80,554,8000",3,1,0,1,1,1,low,117,5,Default Credentials | Outdated Firmware | Exposed RTSP Stream | No Encryption | SQL Injection,9.8,8.9,5.4,27,222.0,Critical,3
CCTV-00344,NVR,CP Plus,CP-PLUS-16CH-DVR,V18.1.91,2018,8,91.246.34.86,1,no-auth,none,1,0,"443,554",2,0,0,1,0,0,low,34,4,Default Credentials | Outdated Firmware | Exposed RTSP Stream | No Encryption,9.8,8.93,5.25,21,198.0,Critical,3
CCTV-00345,IP Camera,Hikvision,DS-2DE4A425IW,V23.7.48,2023,3,105.255.151.52,1,basic,strong,0,1,"80,8000",2,0,0,1,0,1,medium,62,2,Default Credentials | Command Injection,9.9,9.85,4.5,9,113.5,Critical,3
CCTV-00346,IP Camera,Dahua,IPC-HDBW2831R,V16.0.30,2016,10,73.113.195.134,0,no-auth,none,0,1,"80,443,554,37777",4,1,1,1,0,0,low,84,4,Outdated Firmware | No Encryption | Buffer Overflow | SQL Injection,9.8,8.8,7.75,31,197.0,Critical,3
CCTV-00347,IP Camera,CP Plus,CP-VAC-D20L2,V17.0.8,2017,9,72.217.90.156,0,strong,weak,1,1,"80,443,9000",3,1,1,1,0,0,medium,109,2,Outdated Firmware | Weak Encryption,9.8,8.15,8.0,16,129.0,Critical,3
CCTV-00348,NVR,Dahua,NVR5208-8P,V16.7.81,2016,10,86.78.89.66,1,no-auth,weak,0,1,"80,443,8000,37777",4,1,0,1,0,0,none,123,3,Default Credentials | Outdated Firmware | Weak Encryption,9.8,8.7,7.0,21,182.0,Critical,3
CCTV-00349,IP Camera,Axis,P3265-LVE,V16.4.48,2016,10,105.196.250.79,0,basic,weak,0,1,"80,554",2,1,0,1,0,0,high,103,2,Outdated Firmware | Weak Encryption,9.8,8.15,8.0,16,122.0,Critical,3
CCTV-00350,IP Camera,Uniview,IPC322LR3-VSPF40,V17.0.15,2017,9,171.14.75.67,1,no-auth,weak,1,0,"443,554,8000",3,1,0,1,1,1,medium,108,6,Default Credentials | Outdated Firmware | Exposed RTSP Stream | Weak Encryption | Buffer Overflow | SQL Injection,9.8,8.77,7.0,42,219.0,Critical,3
CCTV-00351,IP Camera,Vivotek,MD8563-EH,V24.2.32,2024,2,118.84.218.65,1,strong,strong,1,1,"80,554",2,0,0,1,1,1,medium,20,1,Default Credentials,9.8,9.8,5.0,5,95.0,Critical,3
CCTV-00352,IP Camera,Uniview,IPC6252SR-X5UG,V18.8.84,2018,8,188.213.213.168,0,no-auth,none,0,1,"80,443,554,8000",4,1,0,1,1,0,high,1,4,Outdated Firmware | No Encryption | SQL Injection | Path Traversal,9.8,8.48,6.0,24,181.0,Critical,3
CCTV-00353,IP Camera,CP Plus,CP-E24A,V15.5.23,2015,11,37.85.40.76,1,basic,weak,0,1,"80,443,554,8080,9000",5,0,0,1,0,1,low,104,3,Default Credentials | Outdated Firmware | Weak Encryption,9.8,8.7,7.0,21,152.0,Critical,3
CCTV-00354,IP Camera,Hikvision,DS-7616NI-Q2,V15.1.43,2015,11,106.136.248.122,1,basic,weak,0,1,"80,554",2,0,0,1,1,0,low,24,3,Default Credentials | Outdated Firmware | Weak Encryption,9.8,8.7,7.0,21,157.0,Critical,3
CCTV-00355,IP Camera,Hanwha,XRN-2011,V19.5.47,2019,7,45.13.62.223,0,basic,weak,1,1,"80,443,4520",3,0,1,0,0,0,medium,102,2,Outdated Firmware | Weak Encryption,9.8,8.15,8.0,16,130.0,Critical,3
CCTV-00356,IP Camera,Vivotek,SD9364-EHL,V24.3.47,2024,2,166.41.178.110,0,basic,weak,1,1,"80,443,554,8080",4,0,0,1,0,0,low,113,1,Weak Encryption,6.5,6.5,9.0,9,58.5,High,2
CCTV-00357,IP Camera,Axis,M2026-LE,V20.4.77,2020,6,124.59.246.170,1,strong,weak,1,1,"80,443",2,0,0,1,1,0,none,119,3,Default Credentials | Outdated Firmware | Weak Encryption,9.8,8.7,7.0,21,142.0,Critical,3
CCTV-00358,IP Camera,Vivotek,IB8382-T,V16.2.96,2016,10,135.46.170.224,0,no-auth,strong,0,1,"443,8080",2,0,1,1,0,1,medium,31,1,Outdated Firmware,9.8,9.8,7.0,7,124.0,Critical,3
CCTV-00359,IP Camera,Dahua,SD22204UE-GN,V20.9.8,2020,6,104.65.160.245,1,basic,weak,0,1,"80,443,554,8000,37777",5,1,0,1,1,1,medium,48,4,Default Credentials | Outdated Firmware | Weak Encryption | Path Traversal,9.8,8.48,6.5,26,160.0,Critical,3
CCTV-00360,IP Camera,Axis,P3719-PLE,V20.4.7,2020,6,126.75.145.38,0,strong,strong,1,1,"80,443,554",3,1,1,0,1,0,medium,75,1,Outdated Firmware,9.8,9.8,7.0,7,120.0,Critical,3
CCTV-00361,IP Camera,Uniview,IPC2124SR3-PF40,V19.4.64,2019,7,67.26.91.220,0,basic,none,0,1,"443,554,8000",3,0,1,0,1,0,medium,53,2,Outdated Firmware | No Encryption,9.8,8.65,6.5,13,145.0,Critical,3
CCTV-00362,IP Camera,Axis,M3067-P,V16.2.2,2016,10,23.155.234.168,0,basic,none,0,1,"80,443,554",3,1,0,1,0,0,none,24,2,Outdated Firmware | No Encryption,9.8,8.65,6.5,13,137.0,Critical,3
CCTV-00363,IP Camera,Dahua,SD22204UE-GN,V15.7.37,2015,11,101.242.91.242,0,basic,none,1,1,"80,554",2,1,0,1,0,1,medium,109,4,Outdated Firmware | No Encryption | Buffer Overflow | Path Traversal,9.8,8.55,7.5,30,165.0,Critical,3
CCTV-00364,IP Camera,Hikvision,DS-2CD2143G,V25.5.75,2025,1,181.45.237.222,1,strong,weak,1,1,"8000,8080",2,0,0,1,0,0,medium,96,2,Default Credentials | Weak Encryption,9.8,8.15,7.0,14,112.0,Critical,3
CCTV-00365,IP Camera,Hanwha,PNF-9010R,V16.7.47,2016,10,192.94.207.209,1,basic,strong,1,1,"80,443,554,4520",4,1,0,1,1,0,low,111,3,Default Credentials | Outdated Firmware | Buffer Overflow,9.8,9.57,8.0,24,162.0,Critical,3
CCTV-00366,IP Camera,Uniview,IPC2124SR3-PF40,V17.8.67,2017,9,51.44.131.218,1,no-auth,none,0,1,"80,443,554,8000",4,0,0,1,0,1,none,80,5,Default Credentials | Outdated Firmware | No Encryption | Buffer Overflow | SQL Injection,9.8,9.0,7.2,36,211.0,Critical,3
CCTV-00367,IP Camera,Hanwha,XNP-6320H,V15.1.64,2015,11,100.107.50.170,1,no-auth,weak,0,1,"80,443,554,4520",4,0,0,1,0,0,none,113,4,Default Credentials | Outdated Firmware | Weak Encryption | SQL Injection,9.8,8.73,6.75,27,192.0,Critical,3
CCTV-00368,IP Camera,Hanwha,XNP-6320H,V16.3.18,2016,10,187.73.104.19,1,no-auth,none,1,0,"443,554",2,1,1,1,0,1,low,41,6,Default Credentials | Outdated Firmware | Exposed RTSP Stream | No Encryption | Buffer Overflow | SQL Injection,9.8,8.93,6.5,39,247.0,Critical,3
CCTV-00369,IP Camera,Uniview,IPC6252SR-X5UG,V26.3.91,2026,0,32.185.170.200,0,basic,weak,1,1,"443,554,8000",3,0,1,1,0,1,low,140,1,Weak Encryption,6.5,6.5,9.0,9,57.5,High,2
CCTV-00370,IP Camera,CP Plus,CP-VAC-D20L2,V22.3.35,2022,4,189.144.138.156,1,basic,none,1,1,"80,9000",2,0,0,1,0,1,medium,24,3,Default Credentials | Outdated Firmware | No Encryption,9.8,9.03,6.0,18,146.0,Critical,3
CCTV-00371,IP Camera,Hikvision,DS-2CD2043G,V15.6.23,2015,11,56.224.181.205,1,no-auth,none,1,0,"80,443,554,8000,8080",5,1,1,0,1,0,medium,94,5,Default Credentials | Outdated Firmware | Exposed RTSP Stream | No Encryption | Buffer Overflow,9.8,8.96,6.6,33,255.0,Critical,3
CCTV-00372,IP Camera,Axis,F34,V16.6.66,2016,10,151.252.5.247,0,no-auth,none,1,0,"443,554",2,0,1,1,0,0,none,23,4,Outdated Firmware | Exposed RTSP Stream | No Encryption | Buffer Overflow,9.8,8.75,7.0,28,189.0,Critical,3
CCTV-00373,IP Camera,Axis,F34,V24.2.61,2024,2,179.21.229.247,0,basic,strong,1,1,"80,443",2,0,0,1,0,1,medium,136,0,None,0.0,0.0,0.0,0,6.0,Low,0
CCTV-00374,NVR,Dahua,DHI-NVR4216-16P,V23.2.9,2023,3,77.109.1.189,1,strong,strong,1,1,"80,443,554,8000,37777",5,0,0,1,1,1,low,30,1,Default Credentials,9.8,9.8,5.0,5,98.0,Critical,3
CCTV-00375,IP Camera,Uniview,IPC2328SBR3-DPZ,V16.4.82,2016,10,145.78.210.32,1,no-auth,none,0,1,"80,443,554",3,1,1,0,1,1,low,47,5,Default Credentials | Outdated Firmware | No Encryption | Buffer Overflow | Path Traversal,9.8,8.8,7.0,35,247.0,Critical,3
CCTV-00376,IP Camera,Axis,M3045-V,V15.4.28,2015,11,117.169.16.42,0,basic,weak,0,1,"80,443,554",3,1,0,1,1,0,none,50,4,Outdated Firmware | Weak Encryption | Buffer Overflow | Path Traversal,9.8,8.3,8.25,33,155.0,Critical,3
CCTV-00377,NVR,Uniview,NVR304-32E-B,V24.4.15,2024,2,97.219.4.112,0,strong,weak,0,1,"443,554,8000",3,1,1,1,0,1,medium,3,2,Weak Encryption | Path Traversal,7.8,7.15,7.0,14,93.0,Critical,3
CCTV-00378,IP Camera,Axis,P1455-LE,V16.1.97,2016,10,161.76.117.31,0,no-auth,none,1,0,"80,443,554",3,1,0,1,1,0,medium,26,4,Outdated Firmware | Exposed RTSP Stream | No Encryption | SQL Injection,9.8,8.68,5.5,22,187.0,Critical,3
CCTV-00379,IP Camera,Dahua,IPC-HDBW2831R,V15.3.18,2015,11,73.163.24.47,1,no-auth,strong,1,0,"80,443,554,8000,37777",5,1,0,1,0,0,none,77,3,Default Credentials | Outdated Firmware | Exposed RTSP Stream,9.8,9.4,5.0,15,185.0,Critical,3
CCTV-00380,IP Camera,Hikvision,DS-2CD2043G,V15.5.27,2015,11,160.190.121.167,1,basic,none,1,1,"443,554,8000,8080",4,1,0,1,0,0,low,33,3,Default Credentials | Outdated Firmware | No Encryption,9.8,9.03,6.0,18,180.0,Critical,3
CCTV-00381,IP Camera,CP Plus,CP-EAC-T24PL2,V19.1.13,2019,7,117.129.177.230,1,no-auth,strong,1,0,"80,8080,9000",3,1,0,1,0,1,medium,51,5,Default Credentials | Outdated Firmware | Exposed RTSP Stream | SQL Injection | Path Traversal,9.8,8.96,5.2,26,198.0,Critical,3
CCTV-00382,IP Camera,CP Plus,CP-USC-TA13L2,V19.1.55,2019,7,185.38.84.113,1,basic,none,1,1,"554,9000",2,1,0,1,1,1,medium,48,3,Default Credentials | Outdated Firmware | No Encryption,9.8,9.03,6.0,18,163.0,Critical,3
CCTV-00383,IP Camera,Hanwha,QNV-7080R,V17.6.51,2017,9,173.75.142.238,0,basic,strong,1,1,"80,443,554,4520",4,1,0,1,1,0,low,43,1,Outdated Firmware,9.8,9.8,7.0,7,104.0,Critical,3
CCTV-00384,NVR,Dahua,NVR5208-8P,V22.0.82,2022,4,12.182.112.188,0,no-auth,strong,1,0,"80,443,554,37777",4,0,1,0,0,1,low,75,3,Outdated Firmware | Exposed RTSP Stream | SQL Injection,9.8,9.07,5.33,16,151.0,Critical,3
CCTV-00385,IP Camera,CP Plus,CP-VAC-D20L2,V16.0.68,2016,10,132.47.253.47,1,no-auth,none,1,0,"80,443,554,8080,9000",5,1,0,1,0,0,low,39,5,Default Credentials | Outdated Firmware | Exposed RTSP Stream | No Encryption | Path Traversal,9.8,8.7,5.2,26,227.0,Critical,3
CCTV-00386,IP Camera,Axis,P3245-LVE,V21.2.24,2021,5,35.70.6.155,0,no-auth,strong,1,0,"80,443,554",3,0,0,1,1,1,high,116,2,Outdated Firmware | Exposed RTSP Stream,9.8,9.2,5.0,10,114.0,Critical,3
CCTV-00387,IP Camera,Hikvision,DS-7616NI-Q2,V17.1.1,2017,9,61.71.245.195,1,no-auth,strong,1,0,"554,8000",2,0,1,0,0,0,medium,138,3,Default Credentials | Outdated Firmware | Exposed RTSP Stream,9.8,9.4,5.0,15,196.0,Critical,3
CCTV-00388,IP Camera,Vivotek,MD8563-EH,V21.4.42,2021,5,16.116.218.99,0,strong,weak,1,1,"80,443,554,8080",4,0,0,1,1,0,high,0,2,Outdated Firmware | Weak Encryption,9.8,8.15,8.0,16,99.0,Critical,3
